"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"60115","2025-09-24 17:44:10 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17240","1000.00","Sell","","1.17268","","1.17221","","","","","","","","",""
"60116","2025-09-24 17:44:47 -12","ORDER_FILL","MARKET_IF_TOUCHED_ORDER","EUR/USD","1.17430","1000.00","Sell","0.0644","","","","","0.00000","0.0000","0.0000","","","0.00000","","98977.42"
"60117","2025-09-24 17:44:47 -12","TAKE_PROFIT_ORDER","ON_FILL","","1.17421","","","","","","","","","","","","","","",""
"60118","2025-09-24 17:44:47 -12","STOP_LOSS_ORDER","ON_FILL","","1.17468","","","","","","","","","","","","","","",""
"60119","2025-09-24 17:46:10 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60120","2025-09-24 17:46:11 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60121","2025-09-24 17:46:11 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60122","2025-09-24 17:46:11 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60123","2025-09-24 17:46:11 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60124","2025-09-24 17:46:12 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60125","2025-09-24 17:46:12 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60126","2025-09-24 17:46:12 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60127","2025-09-24 17:46:12 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60128","2025-09-24 17:46:13 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60129","2025-09-24 17:46:13 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60130","2025-09-24 17:46:14 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17548","1000.00","Buy","","1.17518","","1.17568","","","","","","","","",""
