ID,Type,Instrument,Units,Price,Time,pl
18318,TAKE_PROFIT_ORDER,N/A,N/A,1.17929,2025-09-24T05:49:04.399023847Z,
18319,STOP_LOSS_ORDER,N/A,N/A,1.17989,2025-09-24T05:49:04.399023847Z,
18320,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17899,2025-09-24T05:49:15.405432730Z,
18321,ORDER_FILL,EUR_USD,1000,1.17929,2025-09-24T05:50:02.459227633Z,0.1023
18322,ORDER_CANCEL,N/A,N/A,N/A,2025-09-24T05:50:02.459227633Z,
18323,ORDER_FILL,EUR_USD,-1000,1.17919,2025-09-24T05:50:02.459227633Z,0.0000
18324,TAKE_PROFIT_ORDER,N/A,N/A,1.17909,2025-09-24T05:50:02.459227633Z,
18325,STOP_LOSS_ORDER,N/A,N/A,1.17969,2025-09-24T05:50:02.459227633Z,
18326,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17889,2025-09-24T05:50:02.976247973Z,
18327,ORDER_FILL,EUR_USD,1000,1.17969,2025-09-24T05:54:39.546005964Z,-0.6455
18328,ORDER_CANCEL,N/A,N/A,N/A,2025-09-24T05:54:39.546005964Z,
18329,ORDER_FILL,EUR_USD,-1000,1.17910,2025-09-24T06:25:42.090683582Z,0.0000
18330,TAKE_PROFIT_ORDER,N/A,N/A,1.17899,2025-09-24T06:25:42.090683582Z,
18331,STOP_LOSS_ORDER,N/A,N/A,1.17939,2025-09-24T06:25:42.090683582Z,
18332,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17879,2025-09-24T06:25:43.082328454Z,
18333,ORDER_FILL,EUR_USD,-1000,1.17900,2025-09-24T06:26:09.955894234Z,0.0000
18334,TAKE_PROFIT_ORDER,N/A,N/A,1.17889,2025-09-24T06:26:09.955894234Z,
18335,STOP_LOSS_ORDER,N/A,N/A,1.17949,2025-09-24T06:26:09.955894234Z,
18336,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17869,2025-09-24T06:26:10.451763647Z,
18337,ORDER_FILL,EUR_USD,1000,1.17899,2025-09-24T06:26:49.397825323Z,0.1407
18338,ORDER_CANCEL,N/A,N/A,N/A,2025-09-24T06:26:49.397825323Z,
18339,ORDER_FILL,EUR_USD,-1000,1.17890,2025-09-24T06:26:49.397825323Z,0.0000
18340,TAKE_PROFIT_ORDER,N/A,N/A,1.17879,2025-09-24T06:26:49.397825323Z,
18341,STOP_LOSS_ORDER,N/A,N/A,1.17919,2025-09-24T06:26:49.397825323Z,
18342,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17839,2025-09-24T06:26:50.484595929Z,
18343,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:26:50.874246954Z,
18344,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:26:53.392429430Z,
18345,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:26:57.017517948Z,
18346,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:26:59.317895318Z,
18347,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:27:29.087899876Z,
18348,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:28:18.034103362Z,
18349,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:28:19.924593565Z,
18350,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:28:21.949476926Z,
18351,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:28:24.023264336Z,
18352,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:28:26.598110238Z,
18353,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:28:28.570828546Z,
18354,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:28:30.563782034Z,
18355,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:28:33.025363260Z,
18356,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:28:35.079385167Z,
18357,ORDER_FILL,EUR_USD,1000,1.17919,2025-09-24T06:29:00.556159324Z,-0.3746
18358,ORDER_CANCEL,N/A,N/A,N/A,2025-09-24T06:29:00.556159324Z,
18359,ORDER_FILL,EUR_USD,1000,1.17949,2025-09-24T06:30:53.455270785Z,-0.6329
18360,ORDER_CANCEL,N/A,N/A,N/A,2025-09-24T06:30:53.455270785Z,
