"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"54755","2025-09-23 23:18:05 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.16719","1000.00","","","1.16739","","1.16699","","","","","","","","",""
"54756","2025-09-23 23:18:06 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.16739","1000.00","","","1.16759","","1.16719","","","","","","","","",""
"54757","2025-09-23 23:18:06 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.16759","1000.00","","","1.16779","","1.16739","","","","","","","","",""
"54758","2025-09-23 23:18:07 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.16779","1000.00","","","1.16799","","1.16759","","","","","","","","",""
"54759","2025-09-23 23:18:07 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.16799","1000.00","","","1.16819","","1.16779","","","","","","","","",""
"54760","2025-09-23 23:18:07 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.16819","1000.00","","","1.16839","","1.16799","","","","","","","","",""
"54761","2025-09-23 23:18:08 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.16839","1000.00","","","1.16859","","1.16819","","","","","","","","",""
"54762","2025-09-23 23:18:08 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.16859","1000.00","","","1.16879","","1.16839","","","","","","","","",""
"54763","2025-09-23 23:18:08 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.16879","1000.00","","","1.16899","","1.16859","","","","","","","","",""
"54764","2025-09-23 23:18:09 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.16899","1000.00","","","1.16919","","1.16879","","","","","","","","",""
"54765","2025-09-23 23:18:09 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.16919","1000.00","","","1.16939","","1.16899","","","","","","","","",""
"54766","2025-09-23 23:18:10 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.16939","1000.00","","","1.16959","","1.16919","","","","","","","","",""
"54767","2025-09-23 23:18:10 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.16959","1000.00","","","1.16979","","1.16939","","","","","","","","",""
"54768","2025-09-23 23:18:10 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.16979","1000.00","","","1.16999","","1.16959","","","","","","","","",""
"54769","2025-09-23 23:18:11 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.16999","1000.00","","","1.17019","","1.16979","","","","","","","","",""
"54770","2025-09-23 23:18:11 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17019","1000.00","","","1.17039","","1.16999","","","","","","","","",""
"54771","2025-09-23 23:18:11 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17039","1000.00","","","1.17059","","1.17019","","","","","","","","",""
